 [2026-03-31 21:50:24] iteration        1/     100 | consumed samples:            1 | elapsed time per iteration (ms): 1549.1 | learning rate: 2.999334E-04 | global batch size:     1 | lm loss: 1.213301E+01 | loss scale: 1.0 | grad norm: 18.274 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:24] iteration        2/     100 | consumed samples:            2 | elapsed time per iteration (ms): 226.5 | learning rate: 2.997336E-04 | global batch size:     1 | lm loss: 1.188407E+01 | loss scale: 1.0 | grad norm: 59.279 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:25] iteration        3/     100 | consumed samples:            3 | elapsed time per iteration (ms): 181.4 | learning rate: 2.994009E-04 | global batch size:     1 | lm loss: 1.242119E+01 | loss scale: 1.0 | grad norm: 29.212 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:25] iteration        4/     100 | consumed samples:            4 | elapsed time per iteration (ms): 178.9 | learning rate: 2.989355E-04 | global batch size:     1 | lm loss: 1.184193E+01 | loss scale: 1.0 | grad norm: 0.826 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:25] iteration        5/     100 | consumed samples:            5 | elapsed time per iteration (ms): 181.0 | learning rate: 2.983379E-04 | global batch size:     1 | lm loss: 1.257132E+01 | loss scale: 1.0 | grad norm: 1.208 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:25] iteration        6/     100 | consumed samples:            6 | elapsed time per iteration (ms): 183.1 | learning rate: 2.976088E-04 | global batch size:     1 | lm loss: 1.178708E+01 | loss scale: 1.0 | grad norm: 79.812 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:25] iteration        7/     100 | consumed samples:            7 | elapsed time per iteration (ms): 185.2 | learning rate: 2.967488E-04 | global batch size:     1 | lm loss: 1.160962E+01 | loss scale: 1.0 | grad norm: 2.514 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:26] iteration        8/     100 | consumed samples:            8 | elapsed time per iteration (ms): 189.5 | learning rate: 2.957587E-04 | global batch size:     1 | lm loss: 1.136570E+01 | loss scale: 1.0 | grad norm: 0.995 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:26] iteration        9/     100 | consumed samples:            9 | elapsed time per iteration (ms): 189.8 | learning rate: 2.946396E-04 | global batch size:     1 | lm loss: 1.122911E+01 | loss scale: 1.0 | grad norm: 0.834 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:26] iteration       10/     100 | consumed samples:           10 | elapsed time per iteration (ms): 186.1 | learning rate: 2.933926E-04 | global batch size:     1 | lm loss: 1.268949E+01 | loss scale: 1.0 | grad norm: 2.365 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:26] iteration       11/     100 | consumed samples:           11 | elapsed time per iteration (ms): 185.2 | learning rate: 2.920189E-04 | global batch size:     1 | lm loss: 1.154000E+01 | loss scale: 1.0 | grad norm: 0.737 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:26] iteration       12/     100 | consumed samples:           12 | elapsed time per iteration (ms): 183.7 | learning rate: 2.905198E-04 | global batch size:     1 | lm loss: 1.208652E+01 | loss scale: 1.0 | grad norm: 60.354 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:26] iteration       13/     100 | consumed samples:           13 | elapsed time per iteration (ms): 182.1 | learning rate: 2.888969E-04 | global batch size:     1 | lm loss: 1.149697E+01 | loss scale: 1.0 | grad norm: 0.709 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:27] iteration       14/     100 | consumed samples:           14 | elapsed time per iteration (ms): 184.3 | learning rate: 2.871517E-04 | global batch size:     1 | lm loss: 1.118784E+01 | loss scale: 1.0 | grad norm: 43.591 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:27] iteration       15/     100 | consumed samples:           15 | elapsed time per iteration (ms): 182.7 | learning rate: 2.852859E-04 | global batch size:     1 | lm loss: 1.108319E+01 | loss scale: 1.0 | grad norm: 0.712 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:27] iteration       16/     100 | consumed samples:           16 | elapsed time per iteration (ms): 183.4 | learning rate: 2.833014E-04 | global batch size:     1 | lm loss: 1.101548E+01 | loss scale: 1.0 | grad norm: 0.692 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:27] iteration       17/     100 | consumed samples:           17 | elapsed time per iteration (ms): 183.3 | learning rate: 2.812002E-04 | global batch size:     1 | lm loss: 1.031695E+01 | loss scale: 1.0 | grad norm: 0.686 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:27] iteration       18/     100 | consumed samples:           18 | elapsed time per iteration (ms): 183.3 | learning rate: 2.789843E-04 | global batch size:     1 | lm loss: 1.055405E+01 | loss scale: 1.0 | grad norm: 0.672 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:28] iteration       19/     100 | consumed samples:           19 | elapsed time per iteration (ms): 183.8 | learning rate: 2.766559E-04 | global batch size:     1 | lm loss: 9.827415E+00 | loss scale: 1.0 | grad norm: 0.772 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:28] iteration       20/     100 | consumed samples:           20 | elapsed time per iteration (ms): 183.3 | learning rate: 2.742173E-04 | global batch size:     1 | lm loss: 9.711414E+00 | loss scale: 1.0 | grad norm: 0.653 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:28] iteration       21/     100 | consumed samples:           21 | elapsed time per iteration (ms): 182.7 | learning rate: 2.716709E-04 | global batch size:     1 | lm loss: 9.477504E+00 | loss scale: 1.0 | grad norm: 0.743 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:28] iteration       22/     100 | consumed samples:           22 | elapsed time per iteration (ms): 183.1 | learning rate: 2.690193E-04 | global batch size:     1 | lm loss: 9.303225E+00 | loss scale: 1.0 | grad norm: 0.834 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:28] iteration       23/     100 | consumed samples:           23 | elapsed time per iteration (ms): 182.0 | learning rate: 2.662650E-04 | global batch size:     1 | lm loss: 9.289232E+00 | loss scale: 1.0 | grad norm: 0.574 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:28] iteration       24/     100 | consumed samples:           24 | elapsed time per iteration (ms): 182.8 | learning rate: 2.634108E-04 | global batch size:     1 | lm loss: 1.004832E+01 | loss scale: 1.0 | grad norm: 0.751 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:29] iteration       25/     100 | consumed samples:           25 | elapsed time per iteration (ms): 187.2 | learning rate: 2.604594E-04 | global batch size:     1 | lm loss: 9.589892E+00 | loss scale: 1.0 | grad norm: 0.627 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:29] iteration       26/     100 | consumed samples:           26 | elapsed time per iteration (ms): 183.6 | learning rate: 2.574139E-04 | global batch size:     1 | lm loss: 9.895342E+00 | loss scale: 1.0 | grad norm: 0.612 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:29] iteration       27/     100 | consumed samples:           27 | elapsed time per iteration (ms): 185.2 | learning rate: 2.542771E-04 | global batch size:     1 | lm loss: 1.011693E+01 | loss scale: 1.0 | grad norm: 0.650 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:29] iteration       28/     100 | consumed samples:           28 | elapsed time per iteration (ms): 183.2 | learning rate: 2.510522E-04 | global batch size:     1 | lm loss: 1.027410E+01 | loss scale: 1.0 | grad norm: 0.641 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:29] iteration       29/     100 | consumed samples:           29 | elapsed time per iteration (ms): 183.7 | learning rate: 2.477425E-04 | global batch size:     1 | lm loss: 8.319880E+00 | loss scale: 1.0 | grad norm: 0.556 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:30] iteration       30/     100 | consumed samples:           30 | elapsed time per iteration (ms): 184.8 | learning rate: 2.443510E-04 | global batch size:     1 | lm loss: 9.244835E+00 | loss scale: 1.0 | grad norm: 0.650 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:30] iteration       31/     100 | consumed samples:           31 | elapsed time per iteration (ms): 181.7 | learning rate: 2.408813E-04 | global batch size:     1 | lm loss: 8.869667E+00 | loss scale: 1.0 | grad norm: 0.593 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:30] iteration       32/     100 | consumed samples:           32 | elapsed time per iteration (ms): 177.7 | learning rate: 2.373366E-04 | global batch size:     1 | lm loss: 8.390216E+00 | loss scale: 1.0 | grad norm: 0.442 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:30] iteration       33/     100 | consumed samples:           33 | elapsed time per iteration (ms): 181.0 | learning rate: 2.337206E-04 | global batch size:     1 | lm loss: 8.839466E+00 | loss scale: 1.0 | grad norm: 0.601 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:30] iteration       34/     100 | consumed samples:           34 | elapsed time per iteration (ms): 183.9 | learning rate: 2.300367E-04 | global batch size:     1 | lm loss: 9.112024E+00 | loss scale: 1.0 | grad norm: 0.638 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:30] iteration       35/     100 | consumed samples:           35 | elapsed time per iteration (ms): 180.1 | learning rate: 2.262887E-04 | global batch size:     1 | lm loss: 8.098279E+00 | loss scale: 1.0 | grad norm: 0.412 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:31] iteration       36/     100 | consumed samples:           36 | elapsed time per iteration (ms): 181.0 | learning rate: 2.224802E-04 | global batch size:     1 | lm loss: 8.859049E+00 | loss scale: 1.0 | grad norm: 0.603 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:31] iteration       37/     100 | consumed samples:           37 | elapsed time per iteration (ms): 180.2 | learning rate: 2.186150E-04 | global batch size:     1 | lm loss: 8.022842E+00 | loss scale: 1.0 | grad norm: 0.449 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:31] iteration       38/     100 | consumed samples:           38 | elapsed time per iteration (ms): 177.0 | learning rate: 2.146968E-04 | global batch size:     1 | lm loss: 9.124195E+00 | loss scale: 1.0 | grad norm: 0.668 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:31] iteration       39/     100 | consumed samples:           39 | elapsed time per iteration (ms): 176.2 | learning rate: 2.107296E-04 | global batch size:     1 | lm loss: 8.049095E+00 | loss scale: 1.0 | grad norm: 0.595 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:31] iteration       40/     100 | consumed samples:           40 | elapsed time per iteration (ms): 177.4 | learning rate: 2.067173E-04 | global batch size:     1 | lm loss: 8.394773E+00 | loss scale: 1.0 | grad norm: 0.707 | number of skipped iterations:   0 | number of nan iterations:   0 |
