 [2026-03-31 21:53:58] iteration        1/     100 | consumed samples:            1 | elapsed time per iteration (ms): 2347.1 | learning rate: 2.999334E-04 | global batch size:     1 | lm loss: 1.213301E+01 | loss scale: 1.0 | grad norm: 18.274 | number of skipped iterations:   0 | number of nan iterations:   0 |Number of parameters in transformer layers in billions:  0.44
 [2026-03-31 21:53:58] iteration        2/     100 | consumed samples:            2 | elapsed time per iteration (ms): 297.0 | learning rate: 2.997336E-04 | global batch size:     1 | lm loss: 1.188407E+01 | loss scale: 1.0 | grad norm: 59.279 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:53:58] iteration        3/     100 | consumed samples:            3 | elapsed time per iteration (ms): 227.1 | learning rate: 2.994009E-04 | global batch size:     1 | lm loss: 1.242119E+01 | loss scale: 1.0 | grad norm: 29.212 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:53:58] iteration        4/     100 | consumed samples:            4 | elapsed time per iteration (ms): 223.5 | learning rate: 2.989355E-04 | global batch size:     1 | lm loss: 1.184193E+01 | loss scale: 1.0 | grad norm: 0.826 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:53:58] iteration        5/     100 | consumed samples:            5 | elapsed time per iteration (ms): 224.0 | learning rate: 2.983379E-04 | global batch size:     1 | lm loss: 1.257132E+01 | loss scale: 1.0 | grad norm: 1.208 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:53:59] iteration        6/     100 | consumed samples:            6 | elapsed time per iteration (ms): 231.2 | learning rate: 2.976088E-04 | global batch size:     1 | lm loss: 1.178708E+01 | loss scale: 1.0 | grad norm: 79.812 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:53:59] iteration        7/     100 | consumed samples:            7 | elapsed time per iteration (ms): 226.4 | learning rate: 2.967488E-04 | global batch size:     1 | lm loss: 1.160962E+01 | loss scale: 1.0 | grad norm: 2.514 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:53:59] iteration        8/     100 | consumed samples:            8 | elapsed time per iteration (ms): 222.5 | learning rate: 2.957587E-04 | global batch size:     1 | lm loss: 1.136570E+01 | loss scale: 1.0 | grad norm: 0.995 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:53:59] iteration        9/     100 | consumed samples:            9 | elapsed time per iteration (ms): 222.1 | learning rate: 2.946396E-04 | global batch size:     1 | lm loss: 1.122911E+01 | loss scale: 1.0 | grad norm: 0.834 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:00] iteration       10/     100 | consumed samples:           10 | elapsed time per iteration (ms): 229.2 | learning rate: 2.933926E-04 | global batch size:     1 | lm loss: 1.268949E+01 | loss scale: 1.0 | grad norm: 2.365 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:00] iteration       11/     100 | consumed samples:           11 | elapsed time per iteration (ms): 228.2 | learning rate: 2.920189E-04 | global batch size:     1 | lm loss: 1.154000E+01 | loss scale: 1.0 | grad norm: 0.737 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:00] iteration       12/     100 | consumed samples:           12 | elapsed time per iteration (ms): 224.9 | learning rate: 2.905198E-04 | global batch size:     1 | lm loss: 1.208652E+01 | loss scale: 1.0 | grad norm: 60.354 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:00] iteration       13/     100 | consumed samples:           13 | elapsed time per iteration (ms): 221.9 | learning rate: 2.888969E-04 | global batch size:     1 | lm loss: 1.149697E+01 | loss scale: 1.0 | grad norm: 0.709 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:01] iteration       14/     100 | consumed samples:           14 | elapsed time per iteration (ms): 223.6 | learning rate: 2.871517E-04 | global batch size:     1 | lm loss: 1.118784E+01 | loss scale: 1.0 | grad norm: 43.591 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:01] iteration       15/     100 | consumed samples:           15 | elapsed time per iteration (ms): 223.4 | learning rate: 2.852859E-04 | global batch size:     1 | lm loss: 1.108319E+01 | loss scale: 1.0 | grad norm: 0.712 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:01] iteration       16/     100 | consumed samples:           16 | elapsed time per iteration (ms): 221.7 | learning rate: 2.833014E-04 | global batch size:     1 | lm loss: 1.101548E+01 | loss scale: 1.0 | grad norm: 0.692 | number of skipped iterations:   0 | number of nan iterations:   0 |
