 [2026-03-31 21:50:34] iteration        1/     100 | consumed samples:            1 | elapsed time per iteration (ms): 3121.2 | learning rate: 2.999334E-04 | global batch size:     1 | lm loss: 1.213313E+01 | loss scale: 1.0 | grad norm: 18.263 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:34] iteration        2/     100 | consumed samples:            2 | elapsed time per iteration (ms): 244.8 | learning rate: 2.997336E-04 | global batch size:     1 | lm loss: 1.188335E+01 | loss scale: 1.0 | grad norm: 59.210 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:34] iteration        3/     100 | consumed samples:            3 | elapsed time per iteration (ms): 225.8 | learning rate: 2.994009E-04 | global batch size:     1 | lm loss: 1.242122E+01 | loss scale: 1.0 | grad norm: 29.291 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:34] iteration        4/     100 | consumed samples:            4 | elapsed time per iteration (ms): 224.2 | learning rate: 2.989355E-04 | global batch size:     1 | lm loss: 1.184164E+01 | loss scale: 1.0 | grad norm: 0.825 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:35] iteration        5/     100 | consumed samples:            5 | elapsed time per iteration (ms): 224.8 | learning rate: 2.983379E-04 | global batch size:     1 | lm loss: 1.257141E+01 | loss scale: 1.0 | grad norm: 1.212 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:35] iteration        6/     100 | consumed samples:            6 | elapsed time per iteration (ms): 223.9 | learning rate: 2.976088E-04 | global batch size:     1 | lm loss: 1.179359E+01 | loss scale: 1.0 | grad norm: 78.943 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:35] iteration        7/     100 | consumed samples:            7 | elapsed time per iteration (ms): 223.2 | learning rate: 2.967488E-04 | global batch size:     1 | lm loss: 1.160961E+01 | loss scale: 1.0 | grad norm: 2.490 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:35] iteration        8/     100 | consumed samples:            8 | elapsed time per iteration (ms): 223.2 | learning rate: 2.957587E-04 | global batch size:     1 | lm loss: 1.136554E+01 | loss scale: 1.0 | grad norm: 0.994 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:36] iteration        9/     100 | consumed samples:            9 | elapsed time per iteration (ms): 223.6 | learning rate: 2.946396E-04 | global batch size:     1 | lm loss: 1.122868E+01 | loss scale: 1.0 | grad norm: 0.834 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:36] iteration       10/     100 | consumed samples:           10 | elapsed time per iteration (ms): 224.1 | learning rate: 2.933926E-04 | global batch size:     1 | lm loss: 1.268922E+01 | loss scale: 1.0 | grad norm: 2.293 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:50:36] iteration       11/     100 | consumed samples:           11 | elapsed time per iteration (ms): 222.9 | learning rate: 2.920189E-04 | global batch size:     1 | lm loss: 1.154028E+01 | loss scale: 1.0 | grad norm: 0.738 | number of skipped iterations:   0 | number of nan iterations:   0 |
