Number of parameters in transformer layers in billions:  0.44 [2026-03-31 19:18:45] iteration        1/     100 | consumed samples:            1 | elapsed time per iteration (ms): 4853.4 | learning rate: 2.999334E-04 | global batch size:     1 | lm loss: 1.213320E+01 | loss scale: 1.0 | grad norm: 18.259 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:45] iteration        2/     100 | consumed samples:            2 | elapsed time per iteration (ms): 274.9 | learning rate: 2.997336E-04 | global batch size:     1 | lm loss: 1.187872E+01 | loss scale: 1.0 | grad norm: 57.587 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:45] iteration        3/     100 | consumed samples:            3 | elapsed time per iteration (ms): 236.2 | learning rate: 2.994009E-04 | global batch size:     1 | lm loss: 1.242830E+01 | loss scale: 1.0 | grad norm: 26.826 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:45] iteration        4/     100 | consumed samples:            4 | elapsed time per iteration (ms): 237.3 | learning rate: 2.989355E-04 | global batch size:     1 | lm loss: 1.184146E+01 | loss scale: 1.0 | grad norm: 0.828 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:46] iteration        5/     100 | consumed samples:            5 | elapsed time per iteration (ms): 236.6 | learning rate: 2.983379E-04 | global batch size:     1 | lm loss: 1.257282E+01 | loss scale: 1.0 | grad norm: 1.250 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:46] iteration        6/     100 | consumed samples:            6 | elapsed time per iteration (ms): 234.9 | learning rate: 2.976088E-04 | global batch size:     1 | lm loss: 1.178819E+01 | loss scale: 1.0 | grad norm: 81.325 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:46] iteration        7/     100 | consumed samples:            7 | elapsed time per iteration (ms): 234.8 | learning rate: 2.967488E-04 | global batch size:     1 | lm loss: 1.161124E+01 | loss scale: 1.0 | grad norm: 2.875 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:46] iteration        8/     100 | consumed samples:            8 | elapsed time per iteration (ms): 234.5 | learning rate: 2.957587E-04 | global batch size:     1 | lm loss: 1.140224E+01 | loss scale: 1.0 | grad norm: 0.982 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:47] iteration        9/     100 | consumed samples:            9 | elapsed time per iteration (ms): 234.3 | learning rate: 2.946396E-04 | global batch size:     1 | lm loss: 1.127463E+01 | loss scale: 1.0 | grad norm: 0.837 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:47] iteration       10/     100 | consumed samples:           10 | elapsed time per iteration (ms): 234.3 | learning rate: 2.933926E-04 | global batch size:     1 | lm loss: 1.143649E+01 | loss scale: 1.0 | grad norm: 17.180 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:47] iteration       11/     100 | consumed samples:           11 | elapsed time per iteration (ms): 234.7 | learning rate: 2.920189E-04 | global batch size:     1 | lm loss: 1.152447E+01 | loss scale: 1.0 | grad norm: 4.315 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:47] iteration       12/     100 | consumed samples:           12 | elapsed time per iteration (ms): 235.1 | learning rate: 2.905198E-04 | global batch size:     1 | lm loss: 1.173857E+01 | loss scale: 1.0 | grad norm: 17.818 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:47] iteration       13/     100 | consumed samples:           13 | elapsed time per iteration (ms): 233.7 | learning rate: 2.888969E-04 | global batch size:     1 | lm loss: 1.149004E+01 | loss scale: 1.0 | grad norm: 0.708 | number of skipped iterations:   0 | number of nan iterations:   0 |
