Step Time : 7.81s GPU utilization: 1.5MODEL_TFLOP/s/GPU [2026-03-31 22:20:03] iteration        1/     100 | consumed samples:            1 | elapsed time per iteration (ms): 7810.5 | learning rate: 2.999334E-04 | global batch size:     1 | lm loss: 1.275055E+01 | loss scale: 1.0 | grad norm: 90.097 | number of skipped iterations:   0 | number of nan iterations:   0 |[Rank 3] (after 1 iterations) memory (GB) | mem-allocated-gigabytes: 18.723 | mem-active-gigabytes: 18.723 | mem-inactive-gigabytes: 0.0 | mem-reserved-gigabytes: 19.046 | mem-max-allocated-gigabytes: 18.723 | mem-max-active-gigabytes: 18.723 | mem-max-inactive-gigabytes: 0.0 | mem-max-reserved-gigabytes: 19.046 | mem-alloc-retires: 0 | mem-allocated-count: 891[Rank 2] (after 1 iterations) memory (GB) | mem-allocated-gigabytes: 18.723 | mem-active-gigabytes: 18.723 | mem-inactive-gigabytes: 0.0 | mem-reserved-gigabytes: 19.046 | mem-max-allocated-gigabytes: 18.723 | mem-max-active-gigabytes: 18.723 | mem-max-inactive-gigabytes: 0.0 | mem-max-reserved-gigabytes: 19.046 | mem-alloc-retires: 0 | mem-allocated-count: 891
 [2026-03-31 22:20:04] iteration        2/     100 | consumed samples:            2 | elapsed time per iteration (ms): 856.7 | learning rate: 2.997336E-04 | global batch size:     1 | lm loss: 1.078372E+01 | loss scale: 1.0 | grad norm: 70.451 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:05] iteration        3/     100 | consumed samples:            3 | elapsed time per iteration (ms): 517.9 | learning rate: 2.994009E-04 | global batch size:     1 | lm loss: 1.214070E+01 | loss scale: 1.0 | grad norm: 261.005 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:05] iteration        4/     100 | consumed samples:            4 | elapsed time per iteration (ms): 517.9 | learning rate: 2.989355E-04 | global batch size:     1 | lm loss: 1.192080E+01 | loss scale: 1.0 | grad norm: 9.108 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:06] iteration        5/     100 | consumed samples:            5 | elapsed time per iteration (ms): 517.6 | learning rate: 2.983379E-04 | global batch size:     1 | lm loss: 1.379665E+01 | loss scale: 1.0 | grad norm: 44.607 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:06] iteration        6/     100 | consumed samples:            6 | elapsed time per iteration (ms): 519.3 | learning rate: 2.976088E-04 | global batch size:     1 | lm loss: 1.140101E+01 | loss scale: 1.0 | grad norm: 10.742 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:07] iteration        7/     100 | consumed samples:            7 | elapsed time per iteration (ms): 518.2 | learning rate: 2.967488E-04 | global batch size:     1 | lm loss: 1.125861E+01 | loss scale: 1.0 | grad norm: 28.864 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:07] iteration        8/     100 | consumed samples:            8 | elapsed time per iteration (ms): 517.7 | learning rate: 2.957587E-04 | global batch size:     1 | lm loss: 9.830762E+00 | loss scale: 1.0 | grad norm: 1.884 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:08] iteration        9/     100 | consumed samples:            9 | elapsed time per iteration (ms): 517.3 | learning rate: 2.946396E-04 | global batch size:     1 | lm loss: 9.476749E+00 | loss scale: 1.0 | grad norm: 1.477 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:08] iteration       10/     100 | consumed samples:           10 | elapsed time per iteration (ms): 517.2 | learning rate: 2.933926E-04 | global batch size:     1 | lm loss: 9.934427E+00 | loss scale: 1.0 | grad norm: 3.669 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:09] iteration       11/     100 | consumed samples:           11 | elapsed time per iteration (ms): 518.4 | learning rate: 2.920189E-04 | global batch size:     1 | lm loss: 1.037407E+01 | loss scale: 1.0 | grad norm: 3.077 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:09] iteration       12/     100 | consumed samples:           12 | elapsed time per iteration (ms): 521.5 | learning rate: 2.905198E-04 | global batch size:     1 | lm loss: 1.100704E+01 | loss scale: 1.0 | grad norm: 1.921 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:10] iteration       13/     100 | consumed samples:           13 | elapsed time per iteration (ms): 523.0 | learning rate: 2.888969E-04 | global batch size:     1 | lm loss: 9.795616E+00 | loss scale: 1.0 | grad norm: 2.357 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:10] iteration       14/     100 | consumed samples:           14 | elapsed time per iteration (ms): 520.8 | learning rate: 2.871517E-04 | global batch size:     1 | lm loss: 9.177852E+00 | loss scale: 1.0 | grad norm: 18.266 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:11] iteration       15/     100 | consumed samples:           15 | elapsed time per iteration (ms): 519.3 | learning rate: 2.852859E-04 | global batch size:     1 | lm loss: 9.087425E+00 | loss scale: 1.0 | grad norm: 3.324 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:11] iteration       16/     100 | consumed samples:           16 | elapsed time per iteration (ms): 519.5 | learning rate: 2.833014E-04 | global batch size:     1 | lm loss: 9.649790E+00 | loss scale: 1.0 | grad norm: 4.942 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:12] iteration       17/     100 | consumed samples:           17 | elapsed time per iteration (ms): 521.0 | learning rate: 2.812002E-04 | global batch size:     1 | lm loss: 8.476416E+00 | loss scale: 1.0 | grad norm: 1.947 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:13] iteration       18/     100 | consumed samples:           18 | elapsed time per iteration (ms): 521.0 | learning rate: 2.789843E-04 | global batch size:     1 | lm loss: 8.466337E+00 | loss scale: 1.0 | grad norm: 2.642 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:13] iteration       19/     100 | consumed samples:           19 | elapsed time per iteration (ms): 522.3 | learning rate: 2.766559E-04 | global batch size:     1 | lm loss: 8.613739E+00 | loss scale: 1.0 | grad norm: 1.833 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:14] iteration       20/     100 | consumed samples:           20 | elapsed time per iteration (ms): 526.4 | learning rate: 2.742173E-04 | global batch size:     1 | lm loss: 8.216920E+00 | loss scale: 1.0 | grad norm: 4.320 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:14] iteration       21/     100 | consumed samples:           21 | elapsed time per iteration (ms): 519.9 | learning rate: 2.716709E-04 | global batch size:     1 | lm loss: 7.997921E+00 | loss scale: 1.0 | grad norm: 1.375 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:15] iteration       22/     100 | consumed samples:           22 | elapsed time per iteration (ms): 519.7 | learning rate: 2.690193E-04 | global batch size:     1 | lm loss: 7.886577E+00 | loss scale: 1.0 | grad norm: 1.348 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:15] iteration       23/     100 | consumed samples:           23 | elapsed time per iteration (ms): 521.4 | learning rate: 2.662650E-04 | global batch size:     1 | lm loss: 8.056431E+00 | loss scale: 1.0 | grad norm: 1.180 | number of skipped iterations:   0 | number of nan iterations:   0 |
Step Time : 0.52s GPU utilization: 23.2MODEL_TFLOP/s/GPU [2026-03-31 22:20:16] iteration       24/     100 | consumed samples:           24 | elapsed time per iteration (ms): 522.0 | learning rate: 2.634108E-04 | global batch size:     1 | lm loss: 9.608299E+00 | loss scale: 1.0 | grad norm: 1.277 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:16] iteration       25/     100 | consumed samples:           25 | elapsed time per iteration (ms): 522.5 | learning rate: 2.604594E-04 | global batch size:     1 | lm loss: 9.081244E+00 | loss scale: 1.0 | grad norm: 2.085 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:17] iteration       26/     100 | consumed samples:           26 | elapsed time per iteration (ms): 518.2 | learning rate: 2.574139E-04 | global batch size:     1 | lm loss: 9.760187E+00 | loss scale: 1.0 | grad norm: 1.420 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:17] iteration       27/     100 | consumed samples:           27 | elapsed time per iteration (ms): 518.5 | learning rate: 2.542771E-04 | global batch size:     1 | lm loss: 9.888041E+00 | loss scale: 1.0 | grad norm: 1.511 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:18] iteration       28/     100 | consumed samples:           28 | elapsed time per iteration (ms): 518.2 | learning rate: 2.510522E-04 | global batch size:     1 | lm loss: 1.049858E+01 | loss scale: 1.0 | grad norm: 1.499 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:18] iteration       29/     100 | consumed samples:           29 | elapsed time per iteration (ms): 517.2 | learning rate: 2.477425E-04 | global batch size:     1 | lm loss: 8.232619E+00 | loss scale: 1.0 | grad norm: 1.508 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:19] iteration       30/     100 | consumed samples:           30 | elapsed time per iteration (ms): 517.2 | learning rate: 2.443510E-04 | global batch size:     1 | lm loss: 8.501610E+00 | loss scale: 1.0 | grad norm: 1.539 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:19] iteration       31/     100 | consumed samples:           31 | elapsed time per iteration (ms): 519.4 | learning rate: 2.408813E-04 | global batch size:     1 | lm loss: 8.812390E+00 | loss scale: 1.0 | grad norm: 1.510 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:20] iteration       32/     100 | consumed samples:           32 | elapsed time per iteration (ms): 521.0 | learning rate: 2.373366E-04 | global batch size:     1 | lm loss: 8.606781E+00 | loss scale: 1.0 | grad norm: 1.432 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:20] iteration       33/     100 | consumed samples:           33 | elapsed time per iteration (ms): 518.4 | learning rate: 2.337206E-04 | global batch size:     1 | lm loss: 8.378200E+00 | loss scale: 1.0 | grad norm: 1.311 | number of skipped iterations:   0 | number of nan iterations:   0 |
